mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.952786922454834,0.2843845001889931,1.2822786172231038,0.11709269452296985,0.31489116479568624,balanced,0.1,sigmoid,"{'C': 0.31489116479568624, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5932136273312745,0.5494304388422036,0.5492157212085916,0.5639532624606899,0.02069038810954419,6
9.46425167719523,0.384944323684616,1.0914997259775798,0.04194188478977535,8.471801418819979,balanced,0.1,sigmoid,"{'C': 8.471801418819979, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5296044913691972,0.5665282865282867,0.5617267241734497,0.5526198340236445,0.01639193395927937,8
19.462401231129963,0.3081713164295542,1.5828979015350342,0.15421855230876874,0.04207988669606638,balanced,0.1,sigmoid,"{'C': 0.04207988669606638, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6455610620316502,0.6338214944097298,0.6588964979935416,0.6460930181449739,0.010243735782155518,1
32.86039066314697,1.5974806005597029,1.6389834086100261,0.06766278020138809,0.017073967431528128,balanced,scale,sigmoid,"{'C': 0.017073967431528128, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,27
26.787898858388264,1.3626312258911881,1.4361205101013184,0.04065182176536359,2.5378155082656657,balanced,scale,sigmoid,"{'C': 2.5378155082656657, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5405982905982906,0.5794014699897052,0.5896657768084962,0.5698885124654973,0.021130969710990825,4
36.23127786318461,2.1376444006490276,2.5015295346577964,0.11890198328824923,0.012087541473056965,balanced,scale,rbf,"{'C': 0.012087541473056965, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.20683760683760685,0.21452991452991454,0.16666666666666666,0.19601139601139603,0.0209861502686073,23
29.014668305714924,0.7435503761609661,2.2428015867869058,0.083236868497307,21.368329072358772,balanced,scale,rbf,"{'C': 21.368329072358772, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.49528286528286536,0.5217620723503077,0.5011090704952866,0.5060513360428199,0.011360944599426954,14
17.380533297856648,0.6980783796025526,1.487182855606079,0.06675067781713259,0.053370327626039576,balanced,0.1,sigmoid,"{'C': 0.053370327626039576, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.6392815245756421,0.6270894682659388,0.6200773280368489,0.6288161069594765,0.007934576319655889,2
29.298910061518352,0.3908927347836033,1.4633150100708008,0.032193605914301475,0.1648044642797898,balanced,scale,sigmoid,"{'C': 0.1648044642797898, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.36659364600541067,0.3795973090090737,0.322767267097164,0.3563194073705494,0.024311635082430637,18
11.372073729832968,0.8179779767778622,1.2740555604298909,0.09026571484875019,0.5342937261279778,balanced,0.1,sigmoid,"{'C': 0.5342937261279778, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5751145586439704,0.5739807033924681,0.5424006071679114,0.56383195640145,0.015161320400067646,7
32.20220494270325,2.8215456817950706,2.0027515093485513,0.1281032332663863,2.801635158716261,balanced,scale,rbf,"{'C': 2.801635158716261, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.4717338217338218,0.5136709042591395,0.47950094215624744,0.48830188938306957,0.01821669978802983,15
30.46812955538432,1.2095992341354735,1.552101691563924,0.028110057136490976,0.14742753159914673,balanced,scale,sigmoid,"{'C': 0.14742753159914673, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.2847374847374847,0.27002442002442006,0.2261904761904762,0.26031746031746034,0.024867741520763768,22
33.32656375567118,1.134922042342256,2.3091466426849365,0.16922813346256563,0.6672367170464207,balanced,0.1,rbf,"{'C': 0.6672367170464207, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.37334650099355987,0.37479949244655125,0.36708566076315835,0.37174388473442316,0.003346847667628556,17
35.07501737276713,0.8480570090089713,2.4260751406351724,0.1916390959591641,0.0629064429458615,balanced,0.1,rbf,"{'C': 0.0629064429458615, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.1675213675213675,0.17008547008547006,0.16666666666666666,0.16809116809116809,0.0014527121121346914,26
8.759350697199503,0.8602223244742871,1.0445613066355388,0.12074203529080385,2.342384984711291,balanced,0.1,sigmoid,"{'C': 2.342384984711291, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5349649261413968,0.5361126672891379,0.5356552034035874,0.5355775989447075,0.0004717656724710201,9
8.893929719924927,0.7155570251462132,0.976085901260376,0.08936551505801446,2.69264691008618,balanced,0.1,sigmoid,"{'C': 2.69264691008618, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'sigmoid'}",0.5362218391630157,0.5463530369412722,0.5165890420357223,0.5330546393800034,0.012355760169074591,10
30.1338628133138,0.7466542878641024,1.5218227704366047,0.05294662956664236,0.018205657658407266,balanced,scale,sigmoid,"{'C': 0.018205657658407266, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.16666666666666666,0.16666666666666666,0.22533136966126657,0.18622156766486664,0.027654806202517573,24
