,precision,recall,f1-score,support
0,0.9022556390977443,0.821917808219178,0.8602150537634409,146.0
1,0.8594594594594595,0.9408284023668639,0.8983050847457628,169.0
2,0.4,0.4,0.4000000000000001,10.0
3,0.7457627118644068,0.8979591836734694,0.8148148148148148,49.0
4,0.7352941176470589,0.6410256410256411,0.6849315068493151,39.0
5,0.7948717948717948,0.6595744680851063,0.7209302325581396,47.0
accuracy,0.8326086956521739,0.8326086956521739,0.8326086956521739,0.8326086956521739
macro avg,0.7396072871567441,0.7268842505617098,0.7298661154552456,460.0
weighted avg,0.8338169343162716,0.8326086956521739,0.8302759408582132,460.0
