,precision,recall,f1-score,support
0,0.6704545454545454,0.8082191780821918,0.732919254658385,146.0
1,0.6862745098039216,0.8284023668639053,0.7506702412868633,169.0
2,0.5,0.1,0.16666666666666669,10.0
3,0.7741935483870968,0.4897959183673469,0.6,49.0
4,0.0,0.0,0.0,39.0
5,0.6,0.574468085106383,0.5869565217391305,47.0
accuracy,0.6739130434782609,0.6739130434782609,0.6739130434782609,0.6739130434782609
macro avg,0.538487100607594,0.4668142580699712,0.4728687807251742,460.0
weighted avg,0.619570086226509,0.6739130434782609,0.6359197937956736,460.0
